
S&P 500 INDEX,Last: 6001.3501,Change:  5.8101
"Date: November 12, 2024 at 3:29 AM EST",Bid: 5957.6299,Ask: 6062.1299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 20 2024,SPX241220C04550000,1283.93,0,1465.1,1472,0,0.3674,0.9912,0,3444,4550.00,SPX241220P04550000,2.45,-0.65,2.4,2.55,4,0.3812,-0.01,0,18927
Fri Dec 20 2024,SPX241220C04560000,1212.14,0,1455.5,1462.1,0,0.3695,0.991,0,20,4560.00,SPX241220P04560000,2.45,-0.65,2.45,2.6,59,0.3797,-0.0102,0,3063
Fri Dec 20 2024,SPX241220C04575000,1231.71,0,1440.3,1447.2,0,0.3627,0.9908,0,3715,4575.00,SPX241220P04575000,2.65,-0.55,2.5,2.65,103,0.3765,-0.0104,0,5604
Fri Dec 20 2024,SPX241220C04580000,0,0,1435.7,1442.3,0,0.3665,0.9907,0,0,4580.00,SPX241220P04580000,2.65,-0.55,2.5,2.65,1,0.3752,-0.0105,0,828
Fri Dec 20 2024,SPX241220C04600000,1424.3,8.05,1415.6,1422.5,3,0.3601,0.9903,0,21821,4600.00,SPX241220P04600000,2.7,-0.6,2.6,2.75,373,0.3718,-0.0109,0,43214
Fri Dec 20 2024,SPX241220C04625000,1273.5,0,1390.6,1397.7,0,0.3531,0.9898,0,1589,4625.00,SPX241220P04625000,2.85,-0.55,2.7,2.85,2,0.3671,-0.0114,0,5470
Fri Dec 20 2024,SPX241220C04630000,0,0,1386.2,1392.8,0,0.3584,0.9897,0,0,4630.00,SPX241220P04630000,2.77,-0.63,2.7,2.85,188,0.3658,-0.0115,0,783
Fri Dec 20 2024,SPX241220C04640000,998.9,0,1376.3,1382.9,0,0.3568,0.9895,0,3,4640.00,SPX241220P04640000,2.95,-0.55,2.75,2.9,1,0.364,-0.0117,0,367
Fri Dec 20 2024,SPX241220C04660000,0,0,1356.5,1363.1,0,0.3534,0.9891,0,0,4660.00,SPX241220P04660000,3,-0.6,2.85,3,1,0.3604,-0.0121,0,594
Fri Dec 20 2024,SPX241220C04675000,0,0,1341.1,1348.2,0,0.3452,0.9888,0,2491,4675.00,SPX241220P04675000,2.92,-0.78,2.9,3.1,4,0.3577,-0.0124,0,4953
Fri Dec 20 2024,SPX241220C04680000,1188.47,0,1336.2,1343.3,0,0.3453,0.9887,0,226,4680.00,SPX241220P04680000,3.1,-0.6,2.95,3.1,1,0.3566,-0.0125,0,339
Fri Dec 20 2024,SPX241220C04690000,1178.77,0,1326.4,1333.4,0,0.3445,0.9884,0,100,4690.00,SPX241220P04690000,3.1,-0.65,3,3.2,1,0.3552,-0.0128,0,543
Fri Dec 20 2024,SPX241220C04700000,1328.7,11.5,1316.4,1323.5,1,0.3419,0.9882,0,15695,4700.00,SPX241220P04700000,3.1,-0.7,3,3.2,153,0.3525,-0.013,0,45939
Fri Dec 20 2024,SPX241220C04725000,1163.5,0,1291.6,1298.7,0,0.3367,0.9876,0,1982,4725.00,SPX241220P04725000,3.3,-0.65,3.1,3.3,1,0.3474,-0.0136,0,4592
Fri Dec 20 2024,SPX241220C04750000,996.1,0,1267.1,1274,0,0.3348,0.987,0,11457,4750.00,SPX241220P04750000,3.25,-0.85,3.2,3.5,409,0.343,-0.0142,0,23792
Fri Dec 20 2024,SPX241220C04760000,1038,0,1257.5,1264.1,0,0.3354,0.9868,0.0001,2,4760.00,SPX241220P04760000,3.5,-0.65,3.3,3.5,1,0.341,-0.0144,0.0001,186
Fri Dec 20 2024,SPX241220C04770000,0,0,1247.6,1254.3,0,0.3342,0.9865,0.0001,0,4770.00,SPX241220P04770000,3.45,-0.75,3.3,3.6,176,0.3391,-0.0147,0.0001,586
Fri Dec 20 2024,SPX241220C04775000,971.6,0,1242.3,1249.3,0,0.3302,0.9864,0.0001,3755,4775.00,SPX241220P04775000,3.52,-0.68,3.4,3.6,211,0.3384,-0.0148,0.0001,4213
Fri Dec 20 2024,SPX241220C04800000,1229.8,11.3,1217.4,1224.5,1,0.324,0.9857,0.0001,21955,4800.00,SPX241220P04800000,3.69,-0.71,3.5,3.7,2175,0.3332,-0.0155,0.0001,48125
Fri Dec 20 2024,SPX241220C04810000,917.95,0,1208,1214.7,0,0.3265,0.9854,0.0001,0,4810.00,SPX241220P04810000,3.56,-0.84,3.5,3.8,112,0.3312,-0.0158,0.0001,562
Fri Dec 20 2024,SPX241220C04825000,954.16,0,1192.9,1199.8,0,0.3215,0.985,0.0001,442,4825.00,SPX241220P04825000,3.9,-0.6,3.6,3.9,316,0.3285,-0.0162,0.0001,4584
Fri Dec 20 2024,SPX241220C04850000,1054.09,0,1168,1175.1,0,0.3159,0.9842,0.0001,3147,4850.00,SPX241220P04850000,4,-0.7,3.8,4,111,0.3237,-0.017,0.0001,18796
Fri Dec 20 2024,SPX241220C04860000,914.64,0,1158.2,1165.2,0,0.3146,0.9839,0.0001,103,4860.00,SPX241220P04860000,4.02,-0.68,3.8,4,150,0.321,-0.0173,0.0001,880
Fri Dec 20 2024,SPX241220C04870000,1032.89,0,1148.7,1155.3,0,0.3152,0.9836,0.0001,1,4870.00,SPX241220P04870000,3.9,-0.9,3.9,4.1,1,0.3196,-0.0176,0.0001,956
Fri Dec 20 2024,SPX241220C04875000,1028.72,0,1143.4,1150.3,0,0.3117,0.9834,0.0001,716,4875.00,SPX241220P04875000,4.1,-0.7,3.9,4.1,3,0.3182,-0.0178,0.0001,11816
Fri Dec 20 2024,SPX241220C04890000,671.97,0,1128.4,1135.5,0,0.308,0.9829,0.0001,96,4890.00,SPX241220P04890000,4,-0.9,4,4.2,11,0.3154,-0.0183,0.0001,281
Fri Dec 20 2024,SPX241220C04900000,1059.85,0,1118.5,1125.6,0,0.306,0.9826,0.0001,19843,4900.00,SPX241220P04900000,4.2,-0.8,4.1,4.3,158,0.3139,-0.0186,0.0001,36843
Fri Dec 20 2024,SPX241220C04910000,550.54,0,1108.8,1115.7,0,0.3052,0.9822,0.0001,66,4910.00,SPX241220P04910000,4.3,-0.75,4.1,4.3,22,0.3113,-0.019,0.0001,914
Fri Dec 20 2024,SPX241220C04925000,863.14,0,1093.8,1100.9,0,0.3016,0.9817,0.0001,713,4925.00,SPX241220P04925000,4.4,-0.75,4.2,4.4,1,0.3084,-0.0195,0.0001,13334
Fri Dec 20 2024,SPX241220C04940000,838.05,0,1079.5,1086.2,0,0.3025,0.9811,0.0001,21,4940.00,SPX241220P04940000,4.5,-0.75,4.3,4.5,1,0.3054,-0.0201,0.0001,495
Fri Dec 20 2024,SPX241220C04950000,802.3,0,1069.1,1076.2,0,0.297,0.9807,0.0001,3668,4950.00,SPX241220P04950000,4.6,-0.7,4.4,4.6,51,0.3038,-0.0205,0.0001,15803
Fri Dec 20 2024,SPX241220C04960000,870.71,0,1059.7,1066.4,0,0.2983,0.9803,0.0001,6,4960.00,SPX241220P04960000,4.4,-1,4.4,4.7,1,0.3016,-0.0209,0.0001,553
Fri Dec 20 2024,SPX241220C04980000,930.07,0,1040,1046.6,0,0.2945,0.9795,0.0001,2,4980.00,SPX241220P04980000,4.6,-0.95,4.6,4.8,300,0.2978,-0.0217,0.0001,736
Fri Dec 20 2024,SPX241220C05000000,1024.13,8.6,1019.9,1026.9,22402,0.2891,0.9786,0.0001,287853,5000.00,SPX241220P05000000,4.75,-0.95,4.7,4.9,23651,0.2934,-0.0226,0.0001,296367
Fri Dec 20 2024,SPX241220C05010000,0,0,1010.4,1017,0,0.289,0.9782,0.0001,0,5010.00,SPX241220P05010000,4.8,-1,4.8,5,71,0.2917,-0.023,0.0001,3330
Fri Dec 20 2024,SPX241220C05040000,0,0,980.8,987.4,0,0.2833,0.9767,0.0001,0,5040.00,SPX241220P05040000,5.05,-1,5,5.2,118,0.2855,-0.0244,0.0001,295
Fri Dec 20 2024,SPX241220C05050000,987.2,15.55,970.4,977.5,3,0.2787,0.9762,0.0001,10018,5050.00,SPX241220P05050000,5.33,-0.77,5.1,5.3,220,0.2837,-0.025,0.0001,33935
Fri Dec 20 2024,SPX241220C05060000,977.96,0,961,967.7,0,0.2793,0.9757,0.0001,3,5060.00,SPX241220P05060000,5.38,-0.82,5.2,5.4,16,0.2818,-0.0255,0.0001,1036
Fri Dec 20 2024,SPX241220C05075000,701.54,0,945.9,952.9,0,0.275,0.9749,0.0001,1182,5075.00,SPX241220P05075000,5.4,-0.95,5.3,5.5,6,0.2786,-0.0263,0.0001,3793
Fri Dec 20 2024,SPX241220C05090000,805.65,0,931.5,938.1,0,0.2738,0.9741,0.0001,3,5090.00,SPX241220P05090000,5.4,-1.1,5.4,5.7,1,0.2759,-0.0271,0.0001,2680
Fri Dec 20 2024,SPX241220C05100000,923.5,0,921.1,928.2,0,0.2694,0.9735,0.0001,17785,5100.00,SPX241220P05100000,5.76,-0.84,5.5,5.8,55,0.2739,-0.0277,0.0001,49084
Fri Dec 20 2024,SPX241220C05130000,0,0,892.1,898.7,0,0.2662,0.9717,0.0001,0,5130.00,SPX241220P05130000,5.6,-1.3,5.8,6,4,0.2677,-0.0295,0.0001,372
Fri Dec 20 2024,SPX241220C05150000,867.63,0,871.9,879,0,0.2604,0.9704,0.0001,11134,5150.00,SPX241220P05150000,6.1,-1.05,6,6.2,104,0.2638,-0.0308,0.0001,16350
Fri Dec 20 2024,SPX241220C05170000,0,0,852.7,859.4,0,0.2587,0.969,0.0001,0,5170.00,SPX241220P05170000,6.49,-0.86,6.2,6.5,100,0.2602,-0.0322,0.0001,543
Fri Dec 20 2024,SPX241220C05175000,854.27,5.67,847.3,854.4,55,0.2557,0.9686,0.0001,1543,5175.00,SPX241220P05175000,6.1,-1.35,6.3,6.5,3,0.2592,-0.0326,0.0001,4540
Fri Dec 20 2024,SPX241220C05180000,831.17,0,842.9,849.6,0,0.2571,0.9682,0.0001,21,5180.00,SPX241220P05180000,6.1,-1.4,6.3,6.6,8,0.2582,-0.033,0.0001,1712
Fri Dec 20 2024,SPX241220C05190000,0,0,833.1,839.7,0,0.255,0.9675,0.0001,0,5190.00,SPX241220P05190000,6.4,-1.25,6.5,6.7,70,0.2564,-0.0337,0.0001,585
Fri Dec 20 2024,SPX241220C05200000,828.93,4.93,822.9,829.9,12,0.2519,0.9667,0.0001,24395,5200.00,SPX241220P05200000,6.83,-0.92,6.6,6.8,43,0.2544,-0.0345,0.0001,42658
Fri Dec 20 2024,SPX241220C05220000,801.14,0,803.6,810.3,0,0.2495,0.9651,0.0002,44,5220.00,SPX241220P05220000,6.84,-1.21,6.8,7.1,170,0.2505,-0.0361,0.0002,530
Fri Dec 20 2024,SPX241220C05225000,603.08,0,798.2,805.3,0,0.2466,0.9646,0.0002,3429,5225.00,SPX241220P05225000,6.7,-1.4,6.9,7.2,2,0.2498,-0.0366,0.0002,11130
Fri Dec 20 2024,SPX241220C05230000,714.59,0,793.8,800.5,0,0.2477,0.9642,0.0002,30,5230.00,SPX241220P05230000,7.22,-0.98,7,7.2,149,0.2487,-0.037,0.0002,420
Fri Dec 20 2024,SPX241220C05240000,781.6,0,784,790.7,0,0.2459,0.9633,0.0002,3,5240.00,SPX241220P05240000,7.1,-1.25,7.1,7.4,61,0.2469,-0.0379,0.0002,707
Fri Dec 20 2024,SPX241220C05250000,784.2,9.05,773.9,780.8,8,0.2428,0.9624,0.0002,6517,5250.00,SPX241220P05250000,7.4,-1.1,7.3,7.5,41,0.245,-0.0388,0.0002,17917
Fri Dec 20 2024,SPX241220C05270000,556.5,0,754.1,761.2,0,0.2384,0.9605,0.0002,90,5270.00,SPX241220P05270000,7.4,-1.45,7.6,7.8,4,0.2413,-0.0407,0.0002,1879
Fri Dec 20 2024,SPX241220C05275000,744.87,0,749.2,756.3,0,0.2375,0.96,0.0002,2808,5275.00,SPX241220P05275000,7.7,-1.2,7.7,7.9,12,0.2405,-0.0412,0.0002,8886
Fri Dec 20 2024,SPX241220C05280000,742.86,0,744.8,751.5,0,0.2384,0.9595,0.0002,6,5280.00,SPX241220P05280000,7.55,-1.45,7.7,8,2,0.2394,-0.0417,0.0002,621
Fri Dec 20 2024,SPX241220C05285000,0,0,739.9,746.6,0,0.2374,0.959,0.0002,0,5285.00,SPX241220P05285000,8,-1.1,7.8,8.1,1,0.2385,-0.0422,0.0002,348
Fri Dec 20 2024,SPX241220C05290000,740.67,4.22,734.7,741.6,25,0.2353,0.9584,0.0002,71,5290.00,SPX241220P05290000,8.1,-1.1,7.9,8.1,1,0.2374,-0.0428,0.0002,911
Fri Dec 20 2024,SPX241220C05295000,0,0,730.1,736.8,0,0.2355,0.9579,0.0002,0,5295.00,SPX241220P05295000,7.8,-1.45,8,8.2,1,0.2366,-0.0433,0.0002,337
Fri Dec 20 2024,SPX241220C05300000,737.83,11.73,725,731.9,76,0.2339,0.9574,0.0002,24075,5300.00,SPX241220P05300000,8.2,-1.15,8.1,8.3,1659,0.2357,-0.0439,0.0002,44788
Fri Dec 20 2024,SPX241220C05325000,706.22,4.22,700.6,707.5,36,0.2295,0.9545,0.0002,3368,5325.00,SPX241220P05325000,8.65,-1.2,8.5,8.8,33,0.2311,-0.0467,0.0002,5349
Fri Dec 20 2024,SPX241220C05330000,429.39,0,695.7,702.6,0,0.2285,0.9539,0.0002,380,5330.00,SPX241220P05330000,8.3,-1.65,8.6,8.9,123,0.2302,-0.0474,0.0002,1102
Fri Dec 20 2024,SPX241220C05345000,416.46,0,681.4,688.1,0,0.227,0.952,0.0002,4,5345.00,SPX241220P05345000,9.05,-1.25,8.9,9.2,4,0.2275,-0.0492,0.0002,395
Fri Dec 20 2024,SPX241220C05350000,682.11,4.46,676,683.1,2,0.2243,0.9513,0.0002,7945,5350.00,SPX241220P05350000,8.9,-1.55,9,9.3,174,0.2265,-0.0499,0.0002,15026
Fri Dec 20 2024,SPX241220C05355000,409.69,0,671.6,678.3,0,0.2248,0.9507,0.0002,55,5355.00,SPX241220P05355000,9.33,-1.22,9.1,9.4,1,0.2256,-0.0506,0.0002,372
Fri Dec 20 2024,SPX241220C05360000,407.36,0,666.8,673.5,0,0.2243,0.95,0.0002,38,5360.00,SPX241220P05360000,9.35,-1.3,9.2,9.5,1,0.2247,-0.0512,0.0002,492
Fri Dec 20 2024,SPX241220C05375000,410.1,0,651.9,658.8,0,0.2206,0.9479,0.0002,2756,5375.00,SPX241220P05375000,9.7,-1.35,9.6,9.8,14,0.222,-0.0533,0.0002,6913
Fri Dec 20 2024,SPX241220C05380000,499.88,0,647,654,0,0.2197,0.9472,0.0002,79,5380.00,SPX241220P05380000,9.59,-1.56,9.7,10,37,0.2213,-0.0541,0.0002,1132
Fri Dec 20 2024,SPX241220C05390000,609.38,0,637.3,644.3,0,0.218,0.9456,0.0003,149,5390.00,SPX241220P05390000,9.78,-1.62,9.9,10.2,1,0.2193,-0.0556,0.0003,854
Fri Dec 20 2024,SPX241220C05395000,644.56,10.31,632.8,639.5,1,0.2181,0.9449,0.0003,5,5395.00,SPX241220P05395000,10.29,-1.26,10,10.3,118,0.2183,-0.0563,0.0003,527
